key,code,title,projectAbstract,indicator,cost,link,draftMode,key:manager
project-00,ABC-1234,Proyecto de Transformación con Logitech,"Este proyecto tiene como objetivo transformar vidas utilizando tecnología de Logitech.",true,"USD 50,000.00",http://www.ejemplo.com/proyecto1,true,manager-01
project-01,XYZ-5678,Proyecto Innovador con Logitech,"Este proyecto busca innovar en el uso de tecnología Logitech para mejorar la calidad de vida.",false,"EUR 75,000.00",http://www.ejemplo.com/proyecto2,true,manager-01
project-02,DEF-9876,Proyecto de Investigación en Inteligencia Artificial,"Este proyecto se centra en la investigación de técnicas de IA para aplicaciones empresariales.",false,"EUR 60,000.00",http://www.ejemplo.com/proyecto3,false,manager-01
project-03,GHI-6543,Proyecto de Desarrollo de Aplicaciones Móviles,"Desarrollo de una aplicación móvil innovadora para mejorar la experiencia del usuario.",true,"USD 80,000.00",http://www.ejemplo.com/proyecto4,true,manager-01
project-04,JKL-2109,Proyecto de Sostenibilidad Ambiental,"Implementación de medidas para reducir la huella de carbono en la industria local.",false,"EUR 70,000.00",http://www.ejemplo.com/proyecto5,false,manager-01
project-05,MNO-3456,Proyecto de Investigación en Medicina Personalizada,"Investigación en medicina personalizada para tratamientos más efectivos y personalizados.",true,"USD 90,000.00",http://www.ejemplo.com/proyecto6,true,manager-01
project-06,PQR-7890,Proyecto de Desarrollo de Software Educativo,"Desarrollo de software educativo para mejorar la experiencia de aprendizaje en escuelas.",false,"EUR 55,000.00",http://www.ejemplo.com/proyecto7,false,manager-01
project-07,STU-5432,Proyecto de Innovación en Energías Renovables,"Desarrollo de tecnologías innovadoras para la generación de energía limpia.",false,"EUR 85,000.00",http://www.ejemplo.com/proyecto8,false,manager-02
project-08,VWX-0987,Proyecto de Investigación en Biomedicina,"Investigación en biomedicina para el desarrollo de tratamientos médicos avanzados.",true,"USD 70,000.00",http://www.ejemplo.com/proyecto9,true,manager-02
project-09,YZA-6789,Proyecto de Desarrollo de Plataforma E-Commerce,"Desarrollo de una plataforma de comercio electrónico escalable y segura.",false,"EUR 95,000.00",http://www.ejemplo.com/proyecto10,true,manager-02
project-10,BCD-2345,Proyecto de Mejora de Procesos Industriales,"Optimización de procesos industriales para aumentar la eficiencia y reducir costos.",true,"EUR 72,000.00",http://www.ejemplo.com/proyecto11,true,manager-02
project-11,EFG-7891,Proyecto de Innovación en Tecnología de la Información,"Investigación y desarrollo de tecnologías de la información innovadoras.",false,"USD 78,000.00",http://www.ejemplo.com/proyecto12,false,manager-02
project-12,HIJ-4567,Proyecto de Desarrollo de Herramientas de Productividad,"Desarrollo de herramientas de productividad para mejorar la eficiencia en el trabajo.",true,"EUR 68,000.00",http://www.ejemplo.com/proyecto13,true,manager-02
project-13,KLM-1235,Proyecto de Investigación en Robótica Avanzada,"Investigación en robótica avanzada para aplicaciones industriales y médicas.",false,"USD 82,000.00",http://www.ejemplo.com/proyecto14,true,manager-02
project-14,NOP-4563,Proyecto de Desarrollo de Aplicaciones Web Interactivas,"Desarrollo de aplicaciones web interactivas para mejorar la experiencia del usuario.",true,"EUR 73,000.00",http://www.ejemplo.com/proyecto15,true,manager-02
