key,code,completeness,comment,registration-moment,responsible-person,key:contract,published
progresslog-00,PG-AA-0000,99.00,Todo funciona correctamente,2022/07/24 10:00,Gerente Manuel,contract-00,true
progresslog-01,PG-A-0000,99.01,Todo funciona correctamente,2022/07/24 11:00,Gerente Manuel,contract-00,false
progresslog-02,PG-AA-0001,0.01,Todo funciona correctamente,2022/07/24 01:00,Gerente Manuel,contract-01,true
progresslog-03,PG-AA-0002,0.02,Todo funciona correctamente,2022/07/24 02:00,Gerente Manuel,contract-01,false
progresslog-04,PG-AA-0003,25.00,Todo funciona correctamente,2022/07/24 03:00,Gerente Manuel,contract-01,true
progresslog-05,PG-AA-0004,26.99,Todo funciona correctamente,2022/07/24 04:00,Gerente Manuel,contract-01,false
progresslog-06,PG-AA-0005,50.00,Todo funciona correctamente,2022/07/24 05:00,Gerente Manuel,contract-01,true
progresslog-07,PG-AA-0006,0.10,T,2022/07/24 01:00,Gerente Manuel,contract-02,true
progresslog-08,PG-AA-0007,1.00,To,2022/07/24 02:00,Gerente Manuel,contract-02,false
progresslog-09,PG-AA-0008,0.20,El progreso realizado hasta la fecha es notable. Con hitos importantes alcanzados en todas las.,2022/07/24 03:00,Gerente Manuel,contract-02,true
progresslog-10,PG-AA-0009,1.00,El progreso realizado hasta la fecha es notable. Con hitos importantes alcanzados en todas las,2022/07/24 04:00,Gerente Manuel,contract-02,false
progresslog-11,PG-AA-0010,1.00,टिप्पणी,2022/07/24 05:00,Gerente Manuel,contract-02,true
progresslog-12,PG-AA-0020,1.00,Todo funciona correctamente,2022/07/25 00:00,Gerente Manuel,contract-03,false
progresslog-13,PG-AA-0030,1.00,Todo funciona correctamente,2022/07/28 00:00,Gerente Manuel,contract-03,true
progresslog-14,PG-AA-0040,10.00,Todo funciona correctamente,2022/07/28 01:00,Gerente Manuel,contract-03,true
progresslog-15,PG-AA-0050,100.00,Todo funciona correctamente,2022/07/29 00:00,Gerente Manuel,contract-03,true
progresslog-16,PG-AA-0060,1.00,Todo funciona correctamente,2022/07/29 01:00,G,contract-04,true
progresslog-17,PG-AA-0070,99.00,Todo funciona correctamente,2022/07/29 02:00,Ge,contract-04,false
progresslog-18,PG-AA-0080,2.00,Todo funciona correctamente,2022/07/29 03:00,Sebastián Alejandro de la Cruz y Pérez Ramírez Hernández Martínez García,contract-04,false
progresslog-19,PG-AA-0090,99.00,Todo funciona correctamente,2022/07/29 04:00,Sebastián Alejandro de la Cruz y Pérez Ramírez Hernández Martínez Garcí,contract-04,true
progresslog-20,PG-AA-0100,100.00,Todo funciona correctamente,2022/07/29 05:00,टिप्पणी,contract-04,false
